"maTin","loai","tinhThanhPho","diaChi","giaCa","dienTich","ngayDangTin","ngayHetHan","duongpho","matTienM","duongVaoM","soTang","soPhongTam","noiThat","tienIchKemTheo","phapLy","soPhongNgu","dacDiemXaHoi","huongNha","huongBanCong","duAn"
"503031","Nhà riêng","Đức Giang, Long Biên, Hà Nội","Đức Giang, Long Biên, Hà Nội","Thỏa thuận/m²","120 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"503030","Nhà riêng","Ngã Tư Sở, Đống Đa, Hà Nội","Trường Chinh, Ngã Tư Sở, Đống Đa, Hà Nội","4,3 Tỷ","43 m²","17/08/2020","01/10/2020","Trường Chinh",,,,,,,,,,,,
"503029","Căn hộ trung cấp","Đại Mỗ, Nam Từ Liêm, Hà Nội","70, Đại Mỗ, Nam Từ Liêm, Hà Nội","16,8 Triệu/m²","67 m²","17/08/2020","01/10/2020","70",,,,,,"Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Hồ bơi,Truyền hình cáp,Internet",,,,,,"FLC Garden City"
"503026","Nhà riêng","Thanh Lương, Hai Bà Trưng, Hà Nội","Kim Ngưu, Thanh Lương, Hai Bà Trưng, Hà Nội","3,75 Tỷ","35 m²","17/08/2020","01/10/2020","Kim Ngưu",,,"5",,,,"Sổ đỏ","6",,,,
"503025","Nhà riêng","Khương Trung, Thanh Xuân, Hà Nội","Khương Trung","7,4 Tỷ","55 m²","17/08/2020","01/10/2020","Khương Trung",,,"5","5",,,,"5",,,,
"503024","Nhà riêng","Ngọc Thụy, Long Biên, Hà Nội","Ngọc Thụy, Long Biên, Hà Nội","Thỏa thuận/m²","75 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"503020","Nhà riêng","Văn Điển, Thanh Trì, Hà Nội","Tứ Hiệp, Văn Điển, Thanh Trì, Hà Nội","3,3 Tỷ","50 m²","17/08/2020","01/10/2020","Tứ Hiệp",,,"1","1",,,"Sổ đỏ","3",,,,
"503018","Nhà mặt phố","Đại Kim, Hoàng Mai, Hà Nội","Đại Kim Hoàng Mai Hà Nội","1,6 Tỷ","75 m²","17/08/2020","01/10/2020","Kim Giang",,,"10","1",,,,"1",,,,"The Manor Central Park"
"503012","Nhà riêng","Trương Định, Hai Bà Trưng, Hà Nội","Nguyễn An Ninh, Hai Bà Trưng","6,2 Tỷ","58 m²","17/08/2020","01/10/2020","Nguyễn An Ninh",,,"5","5",,,,"4",,,,
"503011","Nhà riêng","Yên Nghĩa, Hà Đông, Hà Nội","Yên Bình, Yên Nghĩa, Hà Đông, Hà Nội","1,68 Tỷ","38 m²","17/08/2020","02/09/2020","Yên Bình","3.5","5","4","3","Tủ bếp,Bồn rửa mặt",,"Sổ hồng","4","Gần trường,Gần nhà trẻ,Khu dân trí cao,Gần chợ","Đông-Bắc","Tây-Bắc",
"503010","Nhà riêng","Cầu Giấy, Hà Nội","Cầu Giấy, Hà Nội","5,8 Tỷ","35 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"503009","Nhà riêng","Thụy Khuê, Tây Hồ, Hà Nội","Thụy Khuê, Tây Hồ Hà Nội","8,3 Tỷ","30 m²","17/08/2020","01/10/2020","Thụy Khuê",,,"7","5",,,,"5",,,,
"503008","Nhà riêng","Ngọc Thụy, Long Biên, Hà Nội","Ngọc Thụy, Long Biên, Hà Nội","900 Triệu","50 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"503007","Nhà mặt phố","Phương Liệt, Thanh Xuân, Hà Nội","Trường Chinh, Thanh Xuân, Hà Nội","4,2 Tỷ","45 m²","17/08/2020","01/10/2020","Trường Chinh",,,"5","4",,,,"4",,,,
"503004","Nhà riêng","Thượng Đình, Thanh Xuân, Hà Nội","Quan Nhân, Thượng Đình, Thanh Xuân, Hà Nội","2,25 Tỷ","26 m²","17/08/2020","01/10/2020","Quan Nhân",,,,,"Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Hồ bơi,Truyền hình cáp,Internet","Sổ đỏ",,"Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",,,
"503001","Nhà biệt thự","Mỹ Đình 1, Nam Từ Liêm, Hà Nội","Mỹ Đình 1, Nam Từ Liêm, Hà Nội","Thỏa thuận/m²","140 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502999","Nhà mặt phố","Đống Đa, Hà Nội","Chùa Láng Đống Đa Hà Nội","23 Tỷ","72 m²","17/08/2020","01/10/2020","Chùa Láng",,,"6","6",,,,"6",,,,
"502998","Nhà riêng","Trương Định, Hai Bà Trưng, Hà Nội","Trương Định, Trương Định, Hai Bà Trưng, Hà Nội","5,3 Tỷ","45 m²","17/08/2020","01/10/2020","Trương Định",,,,,,,"Sổ đỏ",,,,,
"502997","Nhà mặt phố","Hoàn Kiếm, Hà Nội","Hàng Bài, Hoàn Kiếm, Hà Nội","8 Tỷ","85 m²","17/08/2020","01/10/2020","Hàng Bài",,,"2","4",,,,"4",,,,
"502995","Căn hộ Cao cấp","Xuân Đỉnh, Bắc Từ Liêm, Hà Nội","Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội","2 Tỷ","70 m²","17/08/2020","01/10/2020","Xuân Đỉnh",,,"5","2",,,,"2",,,,
"502993","Nhà riêng","Yên Nghĩa, Hà Đông, Hà Nội","Yên Bình, Yên Nghĩa, Hà Đông, Hà Nội","1,6 Tỷ","38 m²","17/08/2020","02/09/2020","Yên Bình","3.5","5","4","3","Tủ bếp,Bồn rửa mặt","Chỗ để xe máy","Sổ hồng","4","Gần trường,Gần nhà trẻ,Khu dân trí cao,Gần chợ","Đông-Bắc","Đông-Bắc",
"502991","Căn hộ mini","Trung Văn, Nam Từ Liêm, Hà Nội","Nguyễn Trãi, Trung Văn, Nam Từ Liêm, Hà Nội","860 Triệu","50 m²","17/08/2020","01/10/2020","Nguyễn Trãi",,,"5","1",,,,"2",,,,
"502989","Căn hộ trung cấp","Xuân La, Tây Hồ, Hà Nội","Xuân La, Tây Hồ, Hà Nội","2,85 Tỷ","60 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502988","Nhà riêng","Ngọc Hà, Ba Đình, Hà Nội","Hoàng Hoa Thám, Ngọc Hà, Ba Đình, Hà Nội","13,6 Tỷ","70 m²","17/08/2020","01/10/2020","Hoàng Hoa Thám","4.1",,"6",,,,,,,,,
"502986","Đất nền khu dân cư","Long Biên, Hà Nội","Long Biên, Hà Nội","3,1 Tỷ","120 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502985","Nhà riêng","Cầu Diễn, Nam Từ Liêm, Hà Nội","Cầu Diễn, Cầu Diễn, Nam Từ Liêm, Hà Nội","3 Tỷ","42 m²","17/08/2020","17/09/2020","Cầu Diễn",,,,,,,,,,,,
"502982","Nhà riêng","Hà Cầu, Hà Đông, Hà Nội","Hà Trì 3, Hà Cầu, Hà Đông, Hà Nội","1,65 Tỷ","37 m²","17/08/2020","01/10/2020","Hà Trì 3",,,"2","1",,,"Sổ đỏ","2",,,,
"502981","Nhà mặt phố","Đống Đa, Hà Nội","Nguyễn Khuyến Đống Đa Hà Nội","18 Tỷ","78 m²","17/08/2020","01/10/2020","Nguyễn Khuyến",,,"2","1",,,,"3",,,,
"502977","Nhà riêng","Phương Liệt, Thanh Xuân, Hà Nội","Trường Chinh, Phương Liệt, Thanh Xuân, Hà Nội","4,1 Tỷ","42 m²","17/08/2020","01/10/2020","Trường Chinh",,,,,,,,,,,,
"502976","Căn hộ Cao cấp","Việt Hưng, Long Biên, Hà Nội","Nguyễn Cao Luyện, Việt Hưng, Long Biên, Hà Nội","1,37 Tỷ","75 m²","17/08/2020","03/09/2020","Nguyễn Cao Luyện",,,"6",,,,,"2",,,,"Khu đô thị Việt Hưng"
"502975","Nhà riêng","Hai Bà Trưng, Hà Nội","Thịnh Yên","12 Tỷ","96 m²","17/08/2020","01/10/2020","Thịnh Yên",,,"4","3",,,,"6",,,,
"502974","Nhà riêng","Hai Bà Trưng, Hà Nội","Giải Phóng","3,8 Tỷ","40 m²","17/08/2020","01/10/2020","Giải Phóng",,,"4","3",,,,"4",,,,
"502972","Nhà riêng","Yên Hòa, Cầu Giấy, Hà Nội","Nguyễn Khang, Yên Hòa, Cầu Giấy, Hà Nội","3,95 Tỷ","42 m²","17/08/2020","01/10/2020","Nguyễn Khang","3","2.5","5","4",,,"Sổ đỏ","6","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Khu dân trí cao,Gần chợ",,,
"502970","Nhà riêng","Phúc La, Hà Đông, Hà Nội","Phùng Hưng, Phúc La, Hà Đông, Hà Nội","3,2 Tỷ","45 m²","17/08/2020","01/10/2020","Phùng Hưng",,,"3","3",,,,"3",,,,
"502968","Nhà riêng","Xuân Tảo, Bắc Từ Liêm, Hà Nội","ngõ 395 phố Xuân đỉnh","3,4 Tỷ","34 m²","17/08/2020","01/10/2020","Xuân Đỉnh",,,"5","4",,,,"3",,,,
"502965","Nhà riêng","Nghĩa Đô, Cầu Giấy, Hà Nội","Hoàng Quốc Việt","13,095 Tỷ","97 m²","17/08/2020","01/10/2020","Hoàng Quốc Việt",,,"3","4",,,,"4",,,,
"502960","Căn hộ trung cấp","Mễ Trì, Nam Từ Liêm, Hà Nội","Mễ Trì, Nam Từ Liêm, Hà Nội","3,3 Tỷ","86 m²","17/08/2020","01/10/2020",,,,,"2","Bàn ăn,Kệ ti vi,Giường ngủ,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Chỗ để ôtô,Hệ thống an ninh,Nhân viên bảo vệ,Hồ bơi,Internet","Sổ đỏ","3",,,"Tây-Bắc","Vinhomes Green Bay"
"502958","Căn hộ Cao cấp","Nghĩa Đô, Cầu Giấy, Hà Nội","Phùng Chí Kiên, Nghĩa Đô, Cầu Giấy, Hà Nội","3 Tỷ","74 m²","17/08/2020","01/10/2020","Phùng Chí Kiên",,,"10","2",,,,"2",,,"Nam","Tràng An GP - Complex"
"502955","Nhà riêng","Ngọc Hà, Ba Đình, Hà Nội","Hoàng Hoa Thám, Ngọc Hà, Ba Đình, Hà Nội","59 Tỷ","50 m²","17/08/2020","01/10/2020","Hoàng Hoa Thám",,,,,"Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Hồ bơi,Truyền hình cáp,Internet","Sổ đỏ",,"Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",,,
"502954","Đất nền","Quang Tiến, Sóc Sơn, Hà Nội","bắc hạ, quang tiến, sóc sơn","450 Triệu","60 m²","17/08/2020","01/10/2020","Tỉnh lộ 131",,,"10","1",,,,"1",,,,
"502949","Căn hộ trung cấp","Hoàng Liệt, Hoàng Mai, Hà Nội","Hoàng Liệt, Hoàng Mai, Hà Nội","1,18 Tỷ","70 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502948","Nhà riêng","Đống Đa, Hà Nội","Đê La Thành, Láng Thượng","61 Tỷ","55 m²","17/08/2020","01/10/2020","Đê La Thành",,,"6","5",,,,"5",,,,
"502947","Nhà mặt phố","Cầu Giấy, Hà Nội","Hoa Bằng, Cầu Giấy, Hà Nội","9,35 Tỷ","52 m²","17/08/2020","01/10/2020","Hoa Bằng",,,,,,,,,,,,
"502945","Nhà mặt phố","Mai Dịch, Cầu Giấy, Hà Nội","Mai Dịch, Mai Dịch, Cầu Giấy, Hà Nội","12,8 Tỷ","60 m²","17/08/2020","01/10/2020","Mai Dịch",,,,,,,,,,,,
"502944","Nhà riêng","Dịch Vọng Hậu, Cầu Giấy, Hà Nội","Trần Quốc Hoàn, Dịch Vọng Hậu, Cầu Giấy, Hà Nội","9,4 Tỷ","48 m²","17/08/2020","01/10/2020","Trần Quốc Hoàn","5,6",,"6",,,,,,,"Nam",,
"502940","Nhà riêng","Hàng Bột, Đống Đa, Hà Nội","Hàng Bột, Hàng Bột, Đống Đa, Hà Nội","2,8 Tỷ","35 m²","17/08/2020","01/10/2020","Hàng Bột",,,"3",,,,,"2",,,,
"502937","Nhà mặt phố","Nghĩa Đô, Cầu Giấy, Hà Nội","Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội","49 Tỷ","128 m²","17/08/2020","01/10/2020","Hoàng Quốc Việt",,"51","4",,,,,,,,,
"502934","Nhà riêng","Minh Khai, Hai Bà Trưng, Hà Nội","Minh Khai, Hai Bà Trưng, Hà Nội","2,9 Tỷ","45 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502933","Đất nền dự án","Long Biên, Long Biên, Hà Nội","Long Biên, Long Biên, Hà Nội","5,2 Tỷ","92 m²","17/08/2020","01/10/2020",,"4.6","4",,,,,"Sổ đỏ",,,"Bắc",,
"502929","Đất nền khu dân cư","Gia Lâm, Hà Nội","Gia Lâm, Hà Nội","1,7 Tỷ","33 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502928","Nhà mặt phố","Phương Liên, Đống Đa, Hà Nội","Xã Đàn, Phương Liên, Đống Đa, Hà Nội","13,5 Tỷ","30 m²","17/08/2020","01/10/2020","Xã Đàn",,"15","4","3",,,"Sổ đỏ","3",,,,
"502921","Nhà riêng","Hoàng Mai, Hà Nội","Hoàng Mai, Hà Nội","5 Tỷ","72 m²","17/08/2020","01/10/2020",,"5","4","4","4",,"Chỗ để ôtô","Sổ đỏ","4","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Gần chợ",,,
"502920","Căn hộ Cao cấp","Văn Quán, Hà Đông, Hà Nội","Nguyễn Khuyến, Văn Quán, Hà Đông, Hà Nội","1,7 Tỷ","80 m²","17/08/2020","01/10/2020","Nguyễn Khuyến",,,"10","1",,,"Sổ đỏ","2",,,,"KĐT Văn Quán"
"502915","Đất nền khu dân cư","Lệ Chi, Gia Lâm, Hà Nội","Lệ Chi, Gia Lâm, Hà Nội","1,042 Tỷ","67 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502911","Nhà mặt phố","Yên Sở, Hoàng Mai, Hà Nội","Tam Trinh","4,45 Tỷ","41 m²","17/08/2020","01/10/2020","Tam Trinh",,,"5","5",,,,,,,,
"502910","Căn hộ trung cấp","Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội","Phạm Văn Đồng, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội","3 Tỷ","114 m²","17/08/2020","01/10/2020","Phạm Văn Đồng",,,,,,,,,,,,
"502909","Nhà riêng","Bồ Đề, Long Biên, Hà Nội","Bồ Đề","2,1 Tỷ","50 m²","17/08/2020","01/10/2020","Bồ Đề",,,"5","4",,,,"4",,,,
"502904","Nhà mặt phố","Đống Đa, Hà Nội","Xã Đàn, Đống Đa, Hà Nội","13 Tỷ","30 m²","17/08/2020","01/10/2020","Xã Đàn",,,,,,,,,,,,
"502902","Nhà riêng","Nghĩa Tân, Cầu Giấy, Hà Nội","Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy, Hà Nội","8,6 Tỷ","62 m²","17/08/2020","01/10/2020","Hoàng Quốc Việt",,,,,,,,,,,,
"502896","Đất nền","Đông Anh, Đông Anh, Hà Nội","Lương Quy Xuân Nộn Đông Anh Hà Nội","1,35 Tỷ","80 m²","17/08/2020","01/10/2020",,,,"10","1",,,,"1",,,,
"502894","Nhà riêng","Yên Hòa, Cầu Giấy, Hà Nội","Hoa Bằng, Yên Hòa, Cầu Giấy, Hà Nội","4 Tỷ","32 m²","17/08/2020","17/09/2020","Hoa Bằng",,,,,,,,,,,,
"502887","Bất động sản khác","Quang Tiến, Sóc Sơn, Hà Nội","Tỉnh lộ 131, Quang Tiến, Sóc Sơn, Hà Nội","1,122 Tỷ","102 m²","17/08/2020","01/10/2020","Tỉnh lộ 131","4","4",,,,,,,,"Tây-Nam","Tây-Nam","Khu công nghiệp Nội Bài"
"502885","Nhà riêng","Cầu Giấy, Hà Nội","Cầu Giấy, Hà Nội","6,8 Tỷ","65 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502883","Nhà riêng","Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội","Cổ Nhuế, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội","4,2 Tỷ","38 m²","17/08/2020","01/10/2020","Cổ Nhuế",,,,,,"Chỗ để xe máy","Sổ đỏ",,"Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Khu dân trí cao,Gần chợ",,,
"502880","Nhà riêng","Ngọc Lâm, Long Biên, Hà Nội","Ngọc Lâm","2,1 Tỷ","50 m²","17/08/2020","01/10/2020","Ngọc Lâm",,,"5","4",,,,"4",,,,
"502877","Nhà mặt phố","Láng Hạ, Đống Đa, Hà Nội","Láng Hạ, Đống Đa, Hà Nội","Thỏa thuận/m²","72 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502870","Đất nền dự án","Xuân Canh, Đông Anh, Hà Nội","Xuân Canh, Đông Anh, Hà Nội","67,5 Tỷ","1500 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502868","Đất nền","Đông Anh, Đông Anh, Hà Nội","Nguyên Khê Đông Anh Hà Nội","980 Triệu","53 m²","17/08/2020","01/10/2020","Lê Hữu Tựu",,,"10","1",,,,"1",,,,
"502867","Nhà riêng","Thịnh Liệt, Hoàng Mai, Hà Nội","Ngõ 662 Thịnh Liệt Hoàng Mai Hà Nội","2,7 Tỷ","32 m²","17/08/2020","01/10/2020","Thịnh Liệt",,,"5","4",,,,"3",,,,
"502866","Nhà mặt phố","Đức Giang, Long Biên, Hà Nội","Đức Giang - Long Biên - Hà Nội","2,55 Tỷ","42 m²","17/08/2020","01/10/2020","Đức Giang",,,"5","4",,,,"3",,,,
"502862","Nhà mặt phố","Gia Thụy, Long Biên, Hà Nội","Nguyễn Văn Linh - Long Biên - Hà Nội","3,05 Tỷ","40 m²","17/08/2020","01/10/2020","Nguyễn Văn Linh",,,"5","4",,,,"3",,,,
"502858","Nhà mặt phố","Ba Đình, Hà Nội","Mặt phố Thụy Khuê","7,5 Tỷ","35 m²","17/08/2020","01/10/2020",,,,"4","4",,,,"3",,,,
"502857","Nhà riêng","Hà Đông, Hà Nội","Hà Đông, Hà Nội","7,2 Tỷ","90 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502856","Nhà riêng","Ba Đình, Hà Nội","Ba Đình, Hà Nội","8,7 Tỷ","55 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502854","Nhà riêng","Quang Trung, Hà Đông, Hà Nội","Phan Đình Giót, Quang Trung, Hà Đông, Hà Nội","2,5 Tỷ","35 m²","17/08/2020","01/10/2020","Phan Đình Giót",,,"4","4","Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Truyền hình cáp,Internet","Sổ đỏ","3","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Khu dân trí cao,Gần chợ",,,
"493546","Căn hộ Cao cấp","Ngã Tư Sở, Đống Đa, Hà Nội","90 Láng, Ngã Tư Sở, Đống Đa, Hà Nội","1,5 Tỷ","1511 m²","17/08/2020","01/10/2020","Láng",,,,"2","Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt","Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Hồ bơi","Sổ hồng","2","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",,,
"502849","Nhà riêng","Mai Dịch, Cầu Giấy, Hà Nội","trần vỹ mai dịch cầu giấy hà nội","15,2 Tỷ","80 m²","17/08/2020","01/10/2020","Trần Vỹ",,,"6","5",,,,"5",,,,
"502847","Nhà riêng","Phúc Xá, Ba Đình, Hà Nội","Nghĩa Dũng, Phúc Xá, Ba Đình, Hà Nội","3,35 Tỷ","46 m²","17/08/2020","01/10/2020","Nghĩa Dũng",,,,,,,,,,,,
"502846","Nhà riêng","Bạch Đằng, Hai Bà Trưng, Hà Nội","Lãng Yên","3,7 Tỷ","38 m²","17/08/2020","01/10/2020","Lãng Yên",,,"4","3",,,,"3",,,,
"502844","Nhà riêng","Khương Đình, Thanh Xuân, Hà Nội","khương đình","36 Triệu/m²","40 m²","17/08/2020","01/10/2020","Khương Đình",,,"4","4",,,,"4",,,,
"502843","Nhà riêng","Đống Đa, Hà Nội","Phố Khâm Thiên","2,7 Tỷ","28 m²","17/08/2020","01/10/2020","Khâm Thiên",,,"4","3",,,,"3",,,,
"502840","Nhà riêng","Khương Đình, Thanh Xuân, Hà Nội","Bùi Xương Trạch","3,2 Tỷ","42 m²","17/08/2020","01/10/2020","Bùi Xương Trạch",,,"4","3",,,,"4",,,,
"502834","Nhà mặt phố","Quan Hoa, Cầu Giấy, Hà Nội","Dương Quảng Hàm","10 Tỷ","59 m²","17/08/2020","01/10/2020","Dương Quảng Hàm",,,"3","3",,,,"5",,,,
"502833","Nhà riêng","Hoàng Mai, Hà Nội","Hoàng Mai, Hà Nội","3,2 Tỷ","57 m²","17/08/2020","01/10/2020",,,,,,,,,,,,,
"502832","Nhà riêng","Đống Đa, Hà Nội","Khâm Thiên","3,9 Tỷ","36 m²","17/08/2020","01/10/2020","Khâm Thiên",,,"5","4",,,,"3",,,,
"502831","Nhà mặt phố","Láng Thượng, Đống Đa, Hà Nội","Pháo Đài Láng, Láng Thượng, Đống Đa, Hà Nội","14,5 Tỷ","70 m²","17/08/2020","01/10/2020","Pháo Đài Láng",,,,,,,,,,,,
"502830","Nhà riêng","Liễu Giai, Ba Đình, Hà Nội","Văn Cao, Liễu Giai, Ba Đình, Hà Nội","50 Tỷ","220 m²","17/08/2020","01/10/2020","Văn Cao",,,,,,,,,,,,
"502828","Nhà riêng","Giáp Bát, Hoàng Mai, Hà Nội","Giáp Bát, Giáp Bát, Hoàng Mai, Hà Nội","3,1 Tỷ","40 m²","17/08/2020","01/10/2020","Giáp Bát","4","4","6","5","Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Hồ bơi,Truyền hình cáp,Internet","Sổ đỏ","4","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",,,
"502826","Nhà riêng","Tây Hồ, Hà Nội","Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","3,6 Tỷ","56 m²","17/08/2020","01/10/2020","Lạc Long Quân",,,"3","2",,,,"3",,,,
"502823","Nhà mặt phố","Láng Thượng, Đống Đa, Hà Nội","Chùa Láng, Láng Thượng, Đống Đa, Hà Nội","23 Tỷ","80 m²","17/08/2020","01/10/2020","Chùa Láng","5",,"4",,,,"Sổ đỏ",,,,,
"502819","Nhà riêng","Nghĩa Đô, Cầu Giấy, Hà Nội","Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội","4,05 Tỷ","30 m²","17/08/2020","01/10/2020","Hoàng Quốc Việt","4","4","5","4",,,,"3",,,,
"502817","Nhà riêng","Khương Mai, Thanh Xuân, Hà Nội","Lê Trọng Tấn, Khương Mai, Thanh Xuân, Hà Nội","5 Tỷ","60 m²","17/08/2020","01/10/2020","Lê Trọng Tấn","4","3","4","5","Bàn ăn,Giường ngủ,Sàn gỗ/đá,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt","Chỗ để xe máy","Sổ đỏ","4","Gần trường,Gần bệnh viện,Khu dân trí cao",,,
"502815","Nhà riêng","Thanh Trì, Hà Nội","Nguyễn Xiển, Thanh Trì, Hà Nội","2 Tỷ","45 m²","17/08/2020","01/10/2020","Nguyễn Xiển","5","3","4",,,,"Sổ đỏ","4",,,,
"502812","Nhà riêng","Láng Hạ, Đống Đa, Hà Nội","Láng Hạ, Láng Hạ, Đống Đa, Hà Nội","6,6 Tỷ","66 m²","17/08/2020","01/10/2020","Láng Hạ","6","3","5","4",,,"Sổ đỏ","4",,,,
"502811","Nhà riêng","Thanh Nhàn, Hai Bà Trưng, Hà Nội","Thanh Nhàn, Thanh Nhàn, Hai Bà Trưng, Hà Nội","2,6 Tỷ","30 m²","17/08/2020","01/10/2020","Thanh Nhàn",,,,,,,,,,,,
"502810","Nhà riêng","Dịch Vọng, Cầu Giấy, Hà Nội","Trần Đăng Ninh","7,7 Tỷ","36 m²","17/08/2020","01/10/2020","Trần Đăng Ninh",,,"5","3",,,,"4",,,,
"502807","Nhà riêng","Quang Trung, Hà Đông, Hà Nội","Phan Đình Giót, Quang Trung, Hà Đông, Hà Nội","2,5 Tỷ","35 m²","17/08/2020","01/10/2020","Phan Đình Giót",,,"4",,"Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Truyền hình cáp,Internet","Sổ đỏ","3","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Khu dân trí cao,Gần chợ",,,
"502802","Nhà riêng","Thanh Xuân, Hà Nội","Trung Hòa","3,85 Tỷ","43 m²","17/08/2020","01/10/2020","Quan Nhân",,,"4","1",,,,"5",,,,
"502800","Nhà riêng","Bồ Đề, Long Biên, Hà Nội","Nguyễn Văn Cừ, Bồ Đề, Long Biên, Hà Nội","4,9 Tỷ","60 m²","17/08/2020","01/10/2020","Nguyễn Văn Cừ",,,,,,,,,,,,
"502795","Nhà riêng","Ngọc Lâm, Long Biên, Hà Nội","Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội","5,8 Tỷ","50 m²","17/08/2020","01/10/2020","Nguyễn Văn Cừ",,,,,,,,,,,,
"502790","Căn hộ trung cấp","Đại Mỗ, Nam Từ Liêm, Hà Nội","70, Đại Mỗ, Nam Từ Liêm, Hà Nội","16,8 Triệu/m²","55 m²","17/08/2020","01/10/2020","70",,,,,"Bình nóng lạnh,Bồn rửa mặt","Chỗ để xe máy,Chỗ để ôtô,Hệ thống an ninh","Sổ hồng",,"Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",,,"FLC Garden City"
"502787","Nhà riêng","Gia Thụy, Long Biên, Hà Nội","Nguyễn Văn Cừ, Gia Thụy, Long Biên, Hà Nội","3,5 Tỷ","60 m²","17/08/2020","01/10/2020","Nguyễn Văn Cừ",,,,,,,"Sổ đỏ",,"Gần trường,Gần bệnh viện,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao",,,
